id,13,0,5
## 以下是职业简介（显示在开局以及任务栏的文本）/ Shows at "Impostor/Crewmate" screen

# 中立阵营 / Neutral descriptions
NeutralInfo,中立阵营,Independent forces unaffiliated with any other teams,Команда которая не принадлежит ни к каким другим командам

# 内鬼阵营 / Impostor descriptions
BountyHunterInfo,走，去拿下你的目标！,Eliminate your target,Охотьтесь за своей целью
MareInfo,Good Night~,Darkness aids you. Kill,Убивайте в темноте
FireWorksInfo,一起来看最后的烟花吧,Go out with a BANG,Морфитесь чтобы поставить фейерверк
SerialKillerInfo,这么多人至少得死一两个吧,Unleash your bloodlust,Убивай чтобы ты не умер
ShapeMasterInfo,猜猜我是谁,Shapeshift and confuse others,Морфитесь чтобы запутать всех Членов Экипажа
VampireInfo,快去榨干他们,Bite and annihilate,Укусите всех Членов Экипажа
WarlockInfo,人心的脆弱，最容易被利用了,Cast your curses,Прокляните всех Членов Экипажа
AssassinInfo,信仰的一击！,Teleport to the player and kill him!,Телепортируйтесь игроку и убейте его!
ZombieInfo,咬死他们，碾碎他们！,You are very slow,Ты очень меделнный
HackerInfo,藏在黑暗背后吧,Force the player to report a corpse,Заставить игрока зарепортить труп
MinerInfo,条条管道通罗马,Teleport yourself to the vent,Телепортируйтесь к вентиляции
MinimalismInfo,简单地弄死他们即可~,You are the real Terminator,Ты настоящий Терминатор
EscapeeInfo,追杀？不存在的,Teleport yourself to the marked point,Телепортируйся в отмеченную точку
WitchInfo,阿瓦达啃大瓜！,Cast your spells,Заклинайте Членов Экипажа
MafiaInfo,总有人不懂我的施舍呢,Avenge your death,Отомсти за свою смерть
BeforeMafiaInfo,总有人不懂我的施舍呢,You can't kill yet,Вы еще не можете убивать
AfterMafiaInfo,下辈子总该记住我了吧,It's time to kill,Время убивать
PuppeteerInfo,一只只可爱的娃娃，在互相厮杀,Force the Crewmate to kill,Заставьте Члена Экипажа убить
TimeThiefInfo,阻止开会模拟器的诞生,Kill to steal meeting time,Убивайте игроков чтобы сократить время встречи
SniperInfo,厉害啊，强强命中,Snipe,Стреляйте в Членов Экипажа на расстоянии
EvilTrackerInfo,你不要过来啊啊啊,Track others,Отслеживайте Игроков
AntiAdminerInfo,没什么能逃过你的眼睛,You know that someone is near the device,Ты знаешь что кто-то рядом с устройством
SansInfo,降下审判！,Cooldown after kill is getting smaller and smaller,Откат после убийства становится все меньше и меньше
BomberInfo,Creeper? Aww Man..,Creeper? Aww Man...,Криппер? Оу Мэн...
BoobyTrapInfo,艺术就是爆炸！,Set a trap on body,Установи Мину на труп
ScavengerInfo,夺走你的一切真是抱歉,"Kill without leaving a trace","Убивай, не оставляя следов"
EvilGuesserInfo,想来一把吗，伙计,Guess the nice roles of the players,Угадывай добрые роли игроков
CapitalismInfo,这可都是劳动力呀,Add another task to a Crewmate,Добавьте еще одно задание Члену Экипажа
GangsterInfo,是时候重整旗鼓了！,Get players on your side,Перемани игроков на свою сторону
CleanerInfo,从世界上抹除掉他们！,Cleanse body,Очисти труп
BallLightningInfo,量子轰炸！,Turn the player into a quantum ghost,Превратите игрока в квантового призрака
GreedierInfo,哈哈哈哈哈哈哈哈哈哈哈,Kill another and another...,Убей ещё одного и ещё одного...
CursedWolfInfo,杀我是你做过最愚蠢的决定,Killing me is the worst idea.,Убивать меня - худшая идея
ImperiusCurseInfo,啊对啊，我是红色，那我还能是谁呢,Change position,Изменяй положение
QuickShooterInfo,I have a big PLAN！,I have a big PLAN!,У меня есть большой ПЛАН!
ConcealerInfo,当所有人戴上面具，一切都自由了,Change the appearance of all players,Измени облик всех игроков
EraserInfo,恕我直言，你不配拥有能力,Im sorry，but you don't deserve that.,Простите，вы этого не заслужили.
OverKillerInfo,且欣赏我美丽的作品,Enjoy my beautiful work,Наслаждайтесь моей работой
HangmanInfo,就由我，来结束你的生命,I will choice when your live will end,Это Я выбираю когда ты умрешь

# 船员阵营 / Crewmate descriptions
BaitInfo,好消息，杀了我可以吃席,Bait your enemies,Убийца моментально зарепортит ваш труп
LuckeyInfo,你擅长治疗内鬼的低血压,There is a chance that you will survive,Есть шанс что вы выживете
NeedyInfo,摆烂快乐！摆烂万岁！,You are too lazy,Ты слишком ленивый
SuperStarInfo,全体目光向我看齐！,You are a Super Star!,Ты Супер Звезда!
CyberStarInfo,放心去吧，会有人报道你的,Everyone will know about your death,Все узнают о твоей смерти
MayorInfo,你拥有让独裁羡慕死的技能,Your vote has more influence,У вас больше голосов
ParanoiaInfo,我好像快死了诶,You have a portable button,У вас есть портативная кнопка
PsychicInfo,太好了，我逐渐理解一切,You can find out who is evil,Ты можешь узнать кто является злым
SabotageMasterInfo,你是一个修理匠，修理本领强,Fix sabotages faster,Устраните саботаж в одиночку
SheriffInfo,你明明可以当狼玩的,Shoot the Impostors,Убивайте Предателей и Нейтралов
SnitchInfo,总之就是难逃一死,Finish your tasks to find the Impostors,Завершите свои задания чтобы узнать Предателей
SpeedBoosterInfo,随风奔跑自由是方向,Boost your speed,Увеличьте свою скорость
DoctorInfo,信我，学医救不了太空人~,And thus they died...,Вы знаете причину смерти игроков
TrapperInfo,大奖小奖，能记住就是好奖,Trap your enemies,Ловите своих врагов
DictatorInfo,请您不要随意自杀,Decide who to eject,Повесьте своего врага на страх и риск
DetectiveInfo,我福尔摩斯来辣！,Learn the roles of the body,Узнай роль трупа
UndercoverInfo,碟中谍了属于是,impostors consider you as one of their own,Предатели считают вас как за своего
SwordsManInfo,行侠仗义！,Kill one player per game,Убей одного игрока за игру
NiceGuesserInfo,生命就是豪赌！,Guess the evil roles of the players,Угадывай злые роли игроков
TransporterInfo,移形换影，扭转乾坤！,Teleport 2 random players,Телепортируй 2 случайных игроков
TimeManagerInfo,时间操控大师！,Do the tasks and extend meeting time,Выполняйте задания чтобы увеличить время встречи
VeteranInfo,内鬼都没你有经验,Don't let a killer just kill you,Не позволяй убийце просто так убить себя
BodyguardInfo,想杀人必须先过我这关,Protect the player from being killed,Защити игрока от убийства
CounterfeiterInfo,谁又能想到是我呢？,Try to fool the players,Попытайтесь обмануть игроков
GrenadierInfo,投掷傻瓜蛋！！,Blind the Impostors,Ослепите Предателей
MedicalerInfo,好像有必要治一治你？,Protect the Crew,Защитите Члена Экипажа
DivinatorInfo,水晶球球，求求了,Check people by voting them,Проверяй игроков голосуя за них
GlitchInfo,wDJwFPMNMm,wDJwFPMNMm,wDJwFPMNMm
JudgeInfo,接着奏乐，接着审~
MorticianInfo,现在，你可以安心地离开了
MediumshiperInfo,若君心存不甘，不妨和我谈谈

# 中立阵营 / Neutral descriptions
ArsonistInfo,乖乖站好！,Burn them to crisps,Облейте и подожгите всех игроков
JesterInfo,我没有、我不是、我对跳,Get voted out,Заставь игроков изгнать себя
OpportunistInfo,苟到最后就是胜利！,Just stay alive,Останьтесь в живых
TerroristInfo,多说不宜 Rush B！,"Finish your tasks, THEN die",Умрите после выполнения всех заданий
ExecutionerInfo,确实，我其实是看他不爽,Get your target voted out,Заставь игроков изгнать свою цель
MarioInfo,听说你的公主在管道里,Jump in! Jump out!,"Прыг, скок, прыг, скок!"
JackalInfo,在这里，我一般称自己为只狼,Kill Everyone,Убей всех игроков
GodInfo,一切都在您的掌控,Everything is under your control,Все под вашим контролем
InnocentInfo,果然碰瓷百试百灵,Let aim of innocent was be ejected,Пусть цель невинного будет изгнана
PelicanInfo,船船，饿饿，饭饭,Eat all players,Съешьте всех игроков
RevolutionistInfo,人类的赞歌是勇气的赞歌,Make a Revolution!,Совершите Революцию!
FFFInfo,该烧还是该审？,You hate Lovers and Neptunes,Вы ненавидите Любовников и Нептунов
KonanInfo,在一次和小兰的约会中...,,
GamerInfo,Lv又增加了捏~,Drink all the blood of the players,Выпейте всю кровь игроков
DarkHideInfo,降下黑暗，释放恐惧！,"Descend into the darkness, release Fear!","Спускайся во тьму, освободи Страх!"
WorkaholicInfo,卷死他们！,Do your tasks and win!,Сделай свои задания и победи!
CollectorInfo,是收集癖的胜利！,Collect enough votes,Соберите достаточное количество голосов
ProvocateurInfo,你急了，你寄了,Victory with help target,Победите с помощью цели

# 附加职业 / Add-ons descriptions
LoversInfo,最重要的是，记得照顾好你的另一半,Survive with your Lover,Выживите со своим Любовником
MadmateInfo,结局掌握在你的手中,Help the Impostors,Помогите Предателям
NtrInfo,笨蛋，我只爱你亿个人哦,Everyone sees you as their Lover,Вас видят как своего Любовника
WatcherInfo,窥视到一切的阴暗面,"You see all the colors of votes","Вы видите все цвета голосов"
LastImpostorInfo,你是狼村最后的希望…,You are the last of us,Ты последний предатель
FlashmanInfo,卡其脱离太！,Your speed is higher!,У вас скорость выше!
LighterInfo,嘿！你在发光诶！,Your vision range same of impostors,Ваш обзор такой же как и у Предателей
SeerInfo,卧槽有人寄了，卧槽！,You see the moment someone dies,Вы видите когда умирают игроки
BrakarInfo,打破这无聊的规则,You have another invisible vote,У вас ещё один невидимый голос
ObliviousInfo,我的天哪，好恐怖,You cannot report body,Вы не можете ркпортить трупы
BewilderInfo,红伞伞白杆杆，好好吃,He has a small field of vision,У него маленькое поле зрение
WorkhorseInfo,感觉不如做任务,You have Extra tasks,Теперь у вас дополнительные задания
FoolInfo,我才不是笨蛋！,Now you can't fix sabotages,Теперь ты не сможешь чинить саботажи
AvangerInfo,君子报仇，片刻不能缓！,Take someone to the next world before you die,Забери кого-нибудь на тот свет прежде чем умереть
YoutuberInfo,我的素材啊啊啊啊,Be the very first to be killed,Будьте убитым самым первым
EgoistInfo,什么叫做一波三折？,Replace victory,Замените победу
PiperInfo,嗯↗嗯↘嗯~~,Change the players speed,Измените скорость игроков
TicketsStealerInfo,要懂得珍惜，死者最后的价值,Steal player votes,Украдите голоса игроков
DualPersonalityInfo,我真的很...奇怪吗？,You now have Schizophrenia,У вас теперь Шизофриния
MimicInfo,噔↗噔↗当→当↘当→当↗,Imitate others,Имитируй других

# 其它 / Other descriptions
GMInfo,开局死的冤魂隔岸观火,You are the Game Master,Вы Мастер Игры
NotAssignedInfo,未被分配职业,No assigned role,Нет назначенной роли

# 隐藏 / Hidden descriptions
SunnyboyInfo,这个角色的建立究竟有什么意义

## 以下是职业描述（使用/m或/r指令后得到的文本）

# 内鬼阵营 / Long Impostors descriptions
BountyHunterInfoLong,(内鬼阵营):\n赏金猎人会被随机分配一个悬赏目标，若在规定时间内击杀了悬赏目标，则击杀CD会变得很短，能立刻进行下一次击杀。若赏金猎人击杀的人不是赏金目标，则击杀CD会被延长。若赏金猎人在规定时间内没有完成任何击杀，则目标会被随机切换为另一个人。,"(Impostors):\nIf you kill your indicated target, your next kill cooldown will be greatly reduced.\nIf you kill anyone other than your target, your next kill cooldown will increase.\nThe target swaps after a configurable amount of time.","(Предатель):\nЕсли Охотник за головами убьет назначенную ему цель, время отката убийства будет намного меньше чем обычно. \n При убийстве игрока который не является его целью, приводит к стандартному времени отката убийства. \nЦели меняются спустя какое-то время"
FireWorksInfoLong,(内鬼阵营):\n烟花商人可以安放烟花炸弹，造成范围性杀伤。烟花商人使用变形可以安放至多三个烟花炸弹。当存活的内鬼阵营玩家仅剩烟花商人且烟花炸弹安置完毕时，烟花商人可以使用变形下引爆炸弹。烟花炸弹可以同样炸死烟花商人自己。但如果烟花炸弹炸死所有存活玩家，那也算内鬼阵营胜利。,"(Impostors):\nWhenever you shapeshift, you can place a firework.\n After placing all fireworks, you can set them all off at once when you shapeshift once you become the last impostor.\nOnce you start placing fireworks, you cannot kill until the fireworks go off.","(Предатель):\nФейерверк может поставить несколько фейерверков с помощью Морфлинга. \nПосле установки всех фейерверков он может поджечь их все сразу с помощью использования Морфлинга, когда он является последним Предателем. \nТолько после этого он сможет убивать."
SerialKillerInfoLong,(内鬼阵营):\n嗜血杀手的击杀冷却很短，但是在指定时间内没有杀人的话，嗜血杀手就会自杀。,"(Impostors):\nYou have a shorter kill cooldown than other impostors', but you will die if you don't kill before the end of your shapeshift cooldown.","(Предатель):\nУ Серийного Убийцы еще более короткий откат убийства. \nНо если он не совершит убийство в установленный срок, то он мгновенно убьет сам себя."
ShapeMasterInfoLong,(内鬼阵营):\n千面鬼没有变形冷却，但千面鬼默认的变形持续时间更短。,"(Impostors):\nShapeMaster has no Shapeshift cooldown.\nOn the other hand, their default Shapeshift duration is shorter (default: 10s).","(Предатель):\nШпион не имеет отката восстановления Морфа. \nС другой стороны, длительность Морфа по умолчанию стоит куда меньше. \nПродолжительность Морфа можно изменить в настройках."
MareInfoLong,(内鬼阵营):\n梦魇只能在停电时下进行击杀。若梦魇击杀成功，梦魇的击杀冷却将变成原来的一半。此外，停电持续的时间内梦魇的移动速度也会增加，但是请注意，停电时间内内所有玩家都能看到梦魇的名字以红色表示。,"(Impostors):\nYou can only kill during Fix Lights.\nWhen you make a kill, your next kill cooldown will be halved.\nDuring Fix Lights, you can move faster, but your name will also be displayed in red for all.","(Предатель):\nПредатель, который может убивать только при выключенном свете. \nКаждое его убийство вдвое снижает откат убийства. \nСкорость движения также будет выше при выключенном свете, но его никнейм станет красным и будет виден всем игрокам."
VampireInfoLong,(内鬼阵营):\n在吸血鬼的吸血的对象不会立刻死亡，而是延迟一段时间突然暴毙。若在这段时间内进入会议阶段，该目标将立即死亡。当被击杀目标为诱饵时，吸血鬼还是会被迫报告诱饵的尸体。,"(Impostors):\nYou can make delayed kills by biting others.\n(Bitten players will die either after the delay is over or the moment a meeting is called before then.)\nIf you bite a [Bait](#Bait), there is no delay, and you are forced to self-report.","(Предатель):\nВампир может кусать игроков, а не убивать. \nУкушенный игрок умирает спустя какое-то время, или же умирает сразу как только произойдёт срочное собрание. \nНо если он укусит [Приманку](#Bait) он совершит обычное убийство и он вынужден сразу зарепортить труп."
WarlockInfoLong,(内鬼阵营):\n术士可以使用击杀键给目标下咒，出现盾牌破碎则是下咒成功（放心，只有你能看见）。当术士变形时，被下咒的玩家会自动击杀离自己最近的玩家。请注意，摆烂人不会替你办事，诅咒摆烂人只会浪费你的时间。\n\n（听说最近误杀队友和自杀的术士越来越多了）,"(Impostors):\nThe Warlocks can curse another players before Shapeshift.\nWhen they Shapeshift after cursing, the player next to the cursed is killed no matter how far away they are.\nWhile Shpashifting, you can perform normal kills.\nAlso, only one player can be cursed per turn.","(Предатель):\nКолдун может проклинать игроков. \nКогда он Морфится после проклинания какого либо игрока, то проклятый игрок убивает любого игрока который находится по близости, независимо от того насколько далеко он находится. \nТак же во время Морфа он совершает обычные убийства."
ZombieInfoLong,(内鬼阵营):\n僵尸的击杀冷却很短，但移动速度很慢且视野极小。僵尸不会被独裁者以外的人票出，僵尸的移动速度会随着击杀或时间流逝逐渐变慢。,"(Impostors):\nThe Zombie has a short killing time, but it moves very slowly and has a very small field of view. No other people except Dictator can vote for zombies.","(Предатель):\nУ Зомби короткий откат убийства, но он двигается очень медленно и имеет очень маленькую дальность обзора. За Зомби не проголосуют другие игроки, кроме диктатора."
AssassinInfoLong,(内鬼阵营):\n刺客可以使用击杀键标记一个目标，标记成功则自己身上会出现碎盾动画作为提示。之后刺客可以使用变形传送至被标记者的身边并击杀被标记者。刺客不可以进行常规击杀，但根据房主设定可能可以在刺杀后进行常规击杀。,"(Impostors):\nThe Assassin can use the Kill button to mark the target, and if the shield was broken, the curse was applied successfully (don't worry, only you can see it). After that, the Assassin can use Shapeshift to teleport to the tagged player at any time and kill the tagged player. \nNote: Assassin can perform normal kills in Shapeshift state","(Предатель):\nАссасин может использовать кнопку ''Убить'' чтобы пометить цель, и если щит был сломан, проклятие применено успешно (не волнуйтесь, только вы можете это увидеть). После этого Ассасин может использовать Морф, чтобы телепортироваться к помеченному игроку в любое время и убить помеченному игрока. \nПримечание: Ассасин может совершать обычные убийства в состоянии Морфа."
HackerInfoLong,(内鬼阵营):\n骇客可以使用变形骇入变形的目标，被骇入的目标会立刻报告骇客本轮击杀的尸体，若本轮骇客没有击杀，则随机报告场上存在的尸体，若场上不存在尸体则目标报告自己的尸体（效果类似被害妄想症）。请注意：骇客技能无视尸体是否可以被报告。此外，摆烂人不会替你办事，骇入摆烂人只会浪费你的时间。
MinerInfoLong,(内鬼阵营):\n矿工变形以及解除变形的时候会传送至上一个进入的通风口。（注意，是进去的通风管而不是出来的通风管）,"(Impostors):\nWhen a Miner uses Shapeshift and is freed from Shapeshift, he will be teleported to the vent he last used. \n(Note that this is a vent that goes in, not a vent that goes out)","(Предатель):\nКогда Шахтер использует Морф и он освобождается от Морфа, он будет телепортирован к вентиляции который он использовал в последний раз. \n(Обратите внимание, что это вентиляция, которая входит внутрь, а не вентиляция, которая выходит наружу)"
MinimalismInfoLong,(内鬼阵营):\n杀戮机器的击杀冷却很短，但杀戮机器无法使用通风管道、没有内鬼视野、无法破坏、无法报告也无法召开紧急会议。,"(Impostors):\nThe Killing Machine has a very short kill cooldown, but the Killing Machine cannot use vents, cannot see other Impostors, cannot be killed, cannot report a body, and cannot call an emergency meeting.","(Предатель):\nУ Машины для Убийств очень короткий откат убийства, но машина для убийств не может использовать вентиляцию, не видит других Предателей, не может быть убит, не может зарепортить труп и не может вызвать срочное собрание."
EscapeeInfoLong,(内鬼阵营):\n可以使用变形标记一个地点，解除变形时不会触发任何效果，再次变形时将会瞬移到标记地点。,"(Impostors):\nHe can use Shapeshift to mark his current location. When Shapeshift is removed, the ability will not trigger, but when he uses Shapeshift a second time, he teleports to the previously marked location.","(Предатель):\nОн может использовать Морф, чтобы отметить своё текущее местоположение. При снятии Морфа способность не сработает, но когда он использует Морф во второй раз, то он телепортируется в ранее отмеченное местоположение"
WitchInfoLong,(内鬼阵营):\n女巫拥有两种攻击方式：直接击杀与诅咒。快速连续点击两次击杀键为正常击杀，只按一次击杀键则是诅咒。会议时，被诅咒的目标会带有对全员可见的诅咒标记「†」。如果女巫未在会议时被投票放逐，被诅咒的目标将会在会议结束后死亡。,"(Impostors):\nYour kill alternates between ""Kill"" and ""Spell"" by actions.\nWhen you kill with your ""Spell"", you bewitch the player.\nPlayers who have been bewitched have a † mark displayed next to them and must vote out the Witch within that meeting, or they will die after the meeting ends.","(Предатель):\nВедьма может совершить убийство или заклинание по очереди. \nИгроки, которые были проклятые Ведьма на голосовании помечаются красным крестом справа от никнейма, \nИ если Ведьма не изгнан, все проклятые им игроки умирают сразу же после голосования."
MafiaInfoLong,(内鬼阵营):\n黑手党在游戏中有其他内鬼存活时不可以进行击杀，但死亡后可以输入 /rv [玩家编号] 以击杀指定玩家。,"(Impostors):\nMafia cannot kill when there are other alive Impostors in the game, but he can enter the /rv [Player ID] command to kill the assigned player after Mafia's death.","(Предатель):\nМафия не может убивать, когда в игре есть другие живые предатели, но он может ввести команду /rv [Индификатор игрока], чтобы убить назначенного игрока после смерти Мафии."
PuppeteerInfoLong,(内鬼阵营):\n傀儡师的操控对象会击杀其遇到的下一个船员。若后者在接触的同时死亡，则前者死亡。傀儡师不可以正常击杀。请注意，摆烂人不会替你办事，操控摆烂人只会浪费你的时间。,"(Impostors):\nInstead of killing someone, ""kills"" can force a player to kill the next non-impostor they approach.\nIf the player your puppet killed has an ability that activates upon death, the effect will land on the puppet instead of yourself.\nYou cannot perform a normal kill.","(Предатель):\nКукловод может совершить убийство с помощью помеченного игрока, но не может убивать как обычный Предатель. \nЕсли цель убивает противника и он срабатывает в момент убийства цели, эффект отразится на цели. \nВы не можете совершать обычные убийства."
TimeThiefInfoLong,(内鬼阵营):\n蚀时者每击杀一个人，会议时间就将减少一定时间。如果蚀时者死亡，会议时间会恢复正常。,"(Impostors):\nEvery kill reduces discussion and voting time in meeting.\nIf you are voted out or killed, the lost time returns to meetings.","(Предатель):\nКаждое убийство Вора Времени сокращает время обсуждения и голосования на собраниях. \nВ зависимости от настроек потерянное время возвращается после того, как он будет убит или изгнан."
