"id","0","11","13","14","5","2","3"
"Mafia","Mafia","マフィア","黑手党","黑手黨","Мафиози","Mafioso","Mafioso"
"Puppeteer","Puppeteer","パペッティア","傀儡师","傀儡師","Кукловод","Marionetista","Marionetista"
"TimeThief","Time Thief","タイムシーフ","蚀时者","時間竊賊","Вор Времени","Ladrão de Tempo","Ladrão Temporal"
"Sniper","Sniper","スナイパー","狙击手","狙擊手","Снайпер","Sniper","Sniper"
"EvilTracker","Evil Tracker","イビルトラッカー","邪恶的追踪者","邪惡的追蹤者","Злой Следопыт","Rastreador do Mal","Rastreador do Mal"
"Stealth","Stealth","ステルス","暗杀者","","Хитрец","Furtivo",""
"NekoKabocha","Neko-Kabocha","ネコカボチャ","猫又","","Неко-Кабоча","Neko-Kabocha",""
"EvilHacker","Evil Hacker","イビルハッカー","邪恶黑客","","Злой Хакер","Hacker do Mal",""
"Penguin","Penguin","ペンギン","企鹅","","Пингвин","Pinguim",""
"Insider","Insider","インサイダー","内幕人","","Инсайдер","Informante",""

"# マッドメイト系役職"
"Madmate","Madmate","マッドメイト","叛徒","叛徒","Безумец","Tripulante Louco","Tripulante Louco"
"MadGuardian","Mad Guardian","マッドガーディアン","背叛的守卫","背叛的天使","Безумный Страж","Guardião Louco","Guardião Louco"
"MadSnitch","Mad Snitch","マッドスニッチ","背叛的告密者","背叛的告密者","Безумный Стукач","Dedo-Duro Louco","Dedo-Duro Louco"
"SKMadmate","Sidekick Madmate","サイドキックマッドメイト","叛徒跟班","叛徒跟班","Союзник Безумца","Tripulante Louco Ajudante","Tripulante Louco Ajudante"

"# 特殊クルー役職"
"Bait","Bait","ベイト","诱饵","誘餌","Приманка","Isca","Isca"
"Lighter","Lighter","ライター","执灯人","持燈人","Фонарь","Lanterneiro","Isqueiro"
"Mayor","Mayor","メイヤー","市长","市長","Мэр","Prefeito","Prefeito"
"SabotageMaster","Sabotage Master","サボタージュマスター","修理大师","修理工","Мастер Саботажа","Faz-Tudo","Mestre Sabotador"
"Sheriff","Sheriff","シェリフ","警长","警長","Шериф","Xerife","Xerife"
"Arsonist","Arsonist","アーソニスト","纵火犯","縱火犯","Поджигатель","Incendiário","Incendiário"
"Snitch","Snitch","スニッチ","告密者","告密者","Стукач","Dedo-Duro","Dedo-Duro"
"SpeedBooster","Speed Booster","スピードブースター","增速者","增速者","Ускоритель","Corredor","Corredor"
"Doctor","Doctor","ドクター","医生","法醫","Доктор","Médico","Médico"
"Trapper","Beartrap","トラッパー","陷阱师","設陷者","Охотник","Armadilheiro","Armadilheiro"
"Dictator","Dictator","ディクテーター","独裁者","獨裁主義者","Диктатор","Ditador","Ditador"
"Seer","Seer","シーア","灵媒","靈媒","Провидец","Vidente","Vidente"
"TimeManager","TimeManager","タイムマネージャー","时间管理者","時間大師","Мастер Времени","Dono do Tempo",""

"# ニュートラル役職"
"Jester","Jester","ジェスター","小丑","小丑","Шут","Bobo","Bobo"
"Terrorist","Terrorist","テロリスト","恐怖分子","恐怖分子","Террорист","Terrorista","Terrorista"
"Executioner","Executioner","エクスキューショナー","处刑人","劊子手","Палач","Executor","Executor"
"SchrodingerCat","Schrödinger's Cat","シュレディンガーの猫","薛定谔的猫","薛丁格的貓","Пленник","Gato de Schrodinger","Gato de Schrodinger"
"Opportunist","Opportunist","オポチュニスト","投机者","投機主義者","Выживший","Oportunista","Oportunista"
"Egoist","Egoist","エゴイスト","野心家","利己主義者","Эгоист","Egoísta","Egoísta"
"Lovers","Lovers","恋人","恋人","戀人","Любовники","Amantes","Amantes"
"Jackal","Jackal","ジャッカル","豺狼","豺狼","Шакал","Lobo-Guará","Chacal"
"PlagueDoctor","Plague Doctor","ペスト医師","瘟疫医生","","Чумной Доктор","Médico da Peste",""

"# HideAndSeek"
"HASFox","Fox","狐","狐狸","狐妖","Лис","Raposa","Raposa"
"HASTroll","Troll","トロール","猎人","誘捕者","Тролль","Troll","Troll"

"# GM"
"GM","GM","GM","GM(管理员)","GM(遊戲大師)","Мастер Игры","MJ(Mestre de Jogo)","MJ(Mestre do Jogo)"

"# 属性"
"LastImpostor","Last Impostor","ラストインポスター","绝境者","絕境者","Последний Предатель","Último Impostor","Último Impostor"
"Watcher","Watcher","ウォッチャー","窥视者","觀察者","Наблюдатель","Observador","Observador"
"Workhorse","Workhorse","ワークホース","实干家","加班狂","Работник","Burro de Carga",""

"# その他"
"Team","Team","陣営","阵营","","Команда","",""
"CustomRoleTypes.Crewmate","Crewmate","クルー","船员","","Членов Экипажа","Tripulante",""
"CustomRoleTypes.Impostor","Impostor","インポスター","内鬼","偽裝者","Предателей","Impostor","Impostor"
"CustomRoleTypes.Neutral","Neutral","ニュートラル","独立","中立陣營","Нейтралов","Neutro",""
"CustomRoleTypes.Madmate","Mad","マッド","叛徒","","Безумцев","Louco",""
"TeamCrewmate","Team Crewmates","クルー陣営","船员阵营","","Команда Членов Экипажа","Time Tripulantes",""
"TeamImpostor","Team Impostors","インポスター陣営","内鬼阵营","幫助偽裝者","Команда Предателей","Time Impostor","Time Impostor"
"TeamEgoist","Team Egoist","エゴイスト陣営","野心家阵营","利己主義者陣營","Команда Эгоистов","Time Egoísta","Time Egoísta"
"TeamJackal","Team Jackal","ジャッカル陣営","豺狼阵营","豺狼陣營","Команда Шакалов","Time Guará","Time Chacal"


"## 役職説明ショート"
"NeutralInfo","Independent forces unaffiliated with any other teams","他のどの陣営にも属さない孤高の陣営","不属于其他阵营的独立阵营","你屬於一個獨立陣營且不受其他陣營或職業的獲勝條件引響","Команда которая не принадлежит ни к каким другим командам","Forças independentes que não pertencem a nenhuma outra equipe","Um time solitário que não pertence a nenhum outro time"

"# 特殊インポスター役職"
"BountyHunterInfo","Eliminate your target","標的を確実に仕留めよう","猎杀你的赏金目标","拿下你的目標","Охотьтесь за своей целью","Elimine o seu alvo","Elimine o seu alvo"
"MareInfo","Darkness aids you. Kill","闇の世界で暗殺せよ","在黑暗中作案","你恐懼黑暗嗎?","Убивайте в темноте","A escuridão está do seu lado. Mate!","O escuro está do seu lado. Mate"
"FireWorksInfo","Go out with a BANG","最後に一華咲かせよう","一起来看最后的烟花吧","在最後時刻來放煙火吧","Морфитесь чтобы поставить фейерверк","Termine com uma EXPLOSÃO","Termine com uma EXPLOSÃO"
"SerialKillerInfo","Unleash your bloodlust","殺人衝動が抑えられない","你渴望鲜血，抑制不住你的冲动","你無法抑制你的殺人衝動","Убивай чтобы ты не умер","Liberte sua sede por sangue","Liberte sua sede por sangue"
"ShapeMasterInfo","Shapeshift and confuse others","変身して敵を混乱させよう","变成他人，迷惑对手","你知道我是誰嗎?","Морфитесь чтобы запутать всех Членов Экипажа","Troque de corpos e confunda outros","Troque de corpos e confunda outros"
"VampireInfo","Bite and annihilate","クルーを噛んで全滅させよう","吸干他们的血","吸取他們的血","Прокусите всех Членов Экипажа","Morda e aniquile","Morda e aniquile"
"WarlockInfo","Cast your curses","敵を呪い殺そう","给你的敌人下咒","借刀殺人","Прокляните всех Членов Экипажа","Lance sua maldição","Lance sua maldição"
"WitchInfo","Cast your spells","敵に魔術をかけよう","诅咒你的敌人","施展你的魔法來讓你的敵人死亡","Заклинайте Членов Экипажа","Lance o seu feitiço","Lance o seu feitiço"
"MafiaInfo","Help the Impostors","インポスターの援助をしよう","帮助内鬼","幫助偽裝者","Помогите Предателям","Ajude os Impostores","Ajude os Impostores"
"BeforeMafiaInfo","You can't kill yet","今はキルをすることができない","潜伏以等候时机","潛伏以等待時機","Вы еще не можете убивать","Você ainda não pode matar","Você ainda não pode matar"
"AfterMafiaInfo","It's time to kill","サボを活用して皆殺しにしよう","杀光所有人","殺光所有人吧","Время убивать","Está na hora de matar","Está na hora de matar"
"PuppeteerInfo","Force the Crewmate to kill","敵を操って皆殺しにしよう","操纵敌人，杀光船员","操控對象並殺光所有人","Заставьте Члена Экипажа убить","Force os tripulantes a matar","Force os tripulantes a matar"
"TimeThiefInfo","Kill to steal meeting time","敵を殺し、会議時間を奪おう","不仅夺走他们的性命，还有他们的时间","殺光你的敵人並將會議時間縮短","Убивайте игроков чтобы сократить время встречи","Mate para roubar tempo de reunião","Mate para roubar tempo de reunião"
"SniperInfo","Snipe","狙い撃つぜ","瞄准敌人，射击！","讓你的敵人在你的狙擊下死亡","Стреляйте в Членов Экипажа на расстоянии","Hora de atirar","Hora de atirar"
"LastImpostorInfo","You are the last of us","残ったのはあなただけ","你是狼村最后的希望…","你是狼村最後的希望...","Ты последний предатель","Você é o último Impostor","Você é o último Impostor"
"EvilTrackerInfo","Track others","プレイヤーを追跡しろ","让我看看，我的小目标在哪","你不要過來啊啊阿","Отслеживайте Игроков","Localize os outros","Localize os outros"
"StealthInfo","Act unseen in the dark world...","闇の世界で暗躍せよ","降下黑暗！","","Действуйте незаметно в темноте","Tabalhe sem ser visto no mundo escuro...",""
"NekoKabochaInfo","Take your killer to your grave","死なばもろとも","带走杀死你的人","","Отведи своего убийцу в могилу","Leve seu assassino para o túmulo",""
"EvilHackerInfo","Hack systems","システムをハッキングせよ","破解系统","","Взломайте систему","Hackeie sistemas",""
"PenguinInfo","Let's drag and kill!","ぺちぺち！","扑哧扑哧！","","Давайте тащить и убивать!","Vamos arrastar e matar!",""
"InsiderInfo","Knowledge is power","知は力なり","知识就是力量","","Знание - сила!","Conhecimento é poder",""

"# マッドメイト系役職"
"MadmateInfo","Help the Impostors","インポスターの援助をしよう","帮助内鬼","幫助偽裝者","Помогите Предателям","Ajude os Impostores","Ajude os Impostores"
"BeforeMadmateInfo","Finish your tasks","タスクを済ませろ","完成你的任务","完成你的任務","Завершите свои задания","Termine as suas tarefas","Termine as suas tarefas"
"MadGuardianInfo","Finish your tasks and help the Impostors","タスクを済ませ、インポスターの援助をしよう","完成任务后来帮助内鬼","完成你的任務並幫助偽裝者","Завершите свои задания, чтобы помочь Предателям","Termine as suas tarefas e ajude os Impostores","Termine as suas tarefas e ajude os Impostores"
"MadSnitchInfo","Finish your tasks and help the Impostors","タスクを済ませ、インポスターの援助をしよう","完成任务后来帮助内鬼","完成你的任務並幫助偽裝者","Завершите свои задания, чтобы помочь Предателям","Termine as suas tarefas e ajude os Impostores","Termine as suas tarefas e ajude os Impostores"
"SKMadmateInfo","You are now on Team Impostors","サイドキックにされた","你是内鬼的好帮手","你現在屬於偽裝者們了，盡你所能幫助他們","Теперь вы в команде Предателя","Você agora está no Time Impostor","Você agora está no Time Impostor"

"# 特殊クルー役職"
"BaitInfo","Trap your enemies","敵を罠にはめよう","引诱敌人落入你的陷阱当中","誘捕你的敵人","Ловите своих врагов","Prenda os seus inimigos","Prenda os seus inimigos"
"LighterInfo","Light 'em up","すべてを照らそう","驱散黑暗，照亮前路","夜空中最亮的星","Увеличьте свой обзор выполнив свои задания","Luz para todo lado","Luz para todo lado"
"MayorInfo","Your vote has more influence","自分の票が何倍もの力を持っている","你的投票更有分量","你的票數更多更有料","У вас больше голосов","O seu voto tem mais influência","O seu voto tem mais influência"
"SabotageMasterInfo","Fix sabotages faster","より早くサボタージュを直そう","你是一个修理匠，修理本领强","更快的修理破壞","Устраните саботаж в одиночку","Conserte as sabotagens mais rápido","Conserte as sabotagens mais rápido"
"SheriffInfo","Shoot the Impostors","インポスターを撃ち抜け","把内鬼统统执法掉","執法偽裝者及中立陣營玩家們","Убивайте Предателей и Нейтралов","Atire nos Impostores","Atire nos Impostores"
"SnitchInfo","Finish your tasks to find the Impostors","タスクを早く済ませよう","完成任务 揪出内鬼","完成你的所有任務來找到偽裝者","Завершите свои задания чтобы узнать Предателей","Termine as suas tarefas para dedurar os Impostores","Termine as suas tarefas para dedurar os Impostores"
"SpeedBoosterInfo","Boost others' speed","走らせろ","让其他人跑起来吧","讓其他人跑得更快","Ускорьте случайного игрока","Impulsione a velocidade dos jogadores","Impulsione a velocidade dos jogadores"
"DoctorInfo","And thus they died...","斯くして奴は死んだ","调查他人死因","查看他們的死因","Вы знаете причину смерти игроков","Veja os sinais vitais e causa da morte","Veja os sinais vitais e causa da morte"
"TrapperInfo","Trap your enemies","敵を罠にはめよう","引诱敌人落入你的陷阱当中","誘捕你的敵人","Ловите своих врагов","Prenda os seus inimigos","Prenda os seus inimigos"
"DictatorInfo","Decide who to eject","独裁政治をしよう","让我统治世界，拥有无上的权利","讓所有人臣服於你","Повесьте своего врага на страх и риск","Escolha quem será exilado","Escolha quem será exilado"
"SeerInfo","You see the moment someone dies","他人の死んだ瞬間がわかる","你能感知死亡","你擁有陰陽眼","Вы видите когда умирают игроки","Veja o momento em que alguém morre","Veja o momento em que alguém morre"
"TimeManagerInfo","Do the tasks and extend meeting time","タスクをして会議時間を延ばそう","任务搞快点，不就有时间开会了嘛","完成你的任務來延長會議時間","Выполняйте задания чтобы увеличить время встречи","Faça as tarefas e aumente o tempo de reunião",""

"# ニュートラル役職"
"ArsonistInfo","Burn them to crisps","燃やせ","火焰给我燃烧起来吧！","燒吧，燒吧，燃燒吧","Облейте и подожгите всех игроков","Queime tudo em pedacinhos","Queime tudo em pedacinhos"
"JesterInfo","Get voted out","追放されよう","让他们把你这个假货投出去","想個辦法讓你被投出去","Заставь игроков изгнать себя","Seja exilado","Seja exilado"
"OpportunistInfo","Just stay alive","とにかく生き残りましょう","活下去吧！活到最后你就成为了赢家！","盡你所能地活下去吧!","Останьтесь в живых","Sobreviva a qualquer custo","Sobreviva a qualquer custo"
"SchrodingerCatInfo","Get killed and join your killer's team","殺されて陣営に所属しろ","加入击杀者的阵营","打不過就加入","Дайте убить себя и присоединитесь к команде убийц","Ao morrer entre para o time que lhe matou","Ao morrer entre para o time que lhe matou"
"CSchrodingerCatInfo","You are now on Team Crewmate","クルーの味方になった","你加入了船员阵营，帮助船员找出内鬼","你現在變成船員了, 幫助船員們找出偽裝者們和中立帶刀者","Теперь вы за Членов Экипажа","Você agora é do Time Tripulante",""
"MSchrodingerCatInfo","You are now on Team Impostor","インポスターの味方になった","你加入了内鬼阵营，掩护自己的内鬼同伴，并且一起胜利","你現在變成偽裝者了，但是你不能殺人，盡量掩護你的隊友的身分","Теперь вы за Предателей","Você agora é do Time Impostor","Você agora é do Time Impostor"
"EgoSchrodingerCatInfo","You are now on Team Egoist","エゴイストの味方になった","你成为了野心家的伙伴","你是利己主義者的跟班","Теперь вы за Эгоистов","Você agora é do Time Egoísta","Você agora é do Time Egoísta"
"JSchrodingerCatInfo","You are now on Team Jackal","ジャッカルの味方になった","你是豺狼的跟班，传宗接代是个好选择","你是豺狼的跟班，但可惜的是你不能殺人","Теперь вы за Шакалов","Você agora é do Time Guará","Você agora é do Time Chacal"
"TerroristInfo","Finish your tasks, THEN die","タスクを済ませ、自爆しよう","都别想活着，和我一起同归于尽！","我要開飛船撞Mira總部","Умрите после выполнения всех заданий","Termine suas tarefas, DEPOIS morra","Termine suas tarefas, DEPOIS morra"
"ExecutionerInfo","Get your target voted out","ターゲットを追放させよう","不惜一切代价把你的目标票出去！","想盡一切辦法來投出你的目標","Заставь игроков изгнать свою цель","Faça o seu alvo ser exilado","Faça o seu alvo ser exilado"
"EgoistInfo","Take over the Impostors' victory","インポスター勝利を独占しよう","夺走内鬼的胜利","讓我們來奪取偽裝者的勝利","Не дай Предателям победить","Ganhe no lugar do Impostor","Ganhe no lugar do Impostor"
"LoversInfo","Live happily ever after, together","恋人と生きて幸せを掴もう","你们坠入了爱河，成为了一对恋人，一起活到最后吧！","你墜入了愛河","Выживите со своим Любовником","Vivam felizes para sempre, juntos","Vivam felizes para sempre, juntos"
"JackalInfo","Kill Everyone","すべてを殺せ","快去杀光所有人，一只苍蝇都不要剩下！","殺光所有人不留活口","Убей всех игроков","Mate todos","Mate todos"
"PlagueDoctorInfo","Spread disease to wipe out the crew","ペストをばらまけ","在船员之中散布瘟疫","","Распространите чуму","Espalhe doenças para acabar com a tripulação",""

"# HideAndSeek"
"HASFoxInfo","Just stay alive","とにかく生き残りましょう","活下去吧！活到最后你就成为了赢家！","盡你所能地活下去吧!","Останьтесь в живых","Sobreviva a qualquer custo","Sobreviva a qualquer custo"
"HASTrollInfo","Get killed","自爆しよう","轰！你为了同伴牺牲了！","盡可能讓獵人殺死你","Будьте убитым","Seja morto","Seja morto"

"# GM"
"GMInfo","You are the Game Master","ゲームマスターだ","你是管理员，在旁边看戏吧","當吃瓜群眾在一旁看戲吧","Вы Мастер Игры","Você é o Mestre de Jogo (MJ)","Você é o Mestre do Jogo (GM)"

"# 属性"
"WatcherInfo","Gaze upon all votes","みんなの投票に目を光らせよう","你可以看见所有人的投票，注意他们的选择","注意所有人的投票","Вы видите цвета голосов","Veja todos os votos","Veja todos os votos"
"WorkhorseInfo","You have Extra tasks","タスクはまだ終わらない","这活还得继续肝","感覺不如做任務","Теперь у вас дополнительные задания","Você tem tarefas adicionais",""

"## 役職説明ロング"

"# 特殊インポスター役職"
"BountyHunterInfoLong","If you kill your indicated target, your next kill cooldown will be greatly reduced.\nIf you kill anyone other than your target, your next kill cooldown will increase.\nThe target swaps after a configurable amount of time.","表示されたターゲットをキルした場合、次のキルクールがとても短くなる。\nターゲットではないプレイヤーをキルした場合は、キルクールが伸びてしまう。\nターゲットは一定時間ごとに変更される。","如果赏金猎人击杀了赏金目标，击杀冷却缩短。\n反之，则冷却增加。","如果賞金獵人殺了賞金目標，下一次的殺人冷卻會變得非常的短\n如果賞金獵人殺了非賞金目標，下一次的殺人冷卻將會被延長或不變\n目標將會重置在時間結束或殺死賞金目標後。","Если Охотник за головами убьет назначенную ему цель, время отката убийства будет намного меньше чем обычно. \n При убийстве игрока который не является его целью, приводит к стандартному времени отката убийства. \nЦели меняются спустя какое-то время","Se você matar o seu alvo, o tempo de recarga (abate) será mais rápido.\nMatar um jogador que não seja seu alvo, resulta em um tempo de recarga (abate) maior.\nOs alvos são alterados em intervalos regulares."," Se você matar o seu alvo, o tempo de morte será mais rápido.\nMatar um jogador que não seja seu alvo, resulta em um tempo de morte maior.\nOs alvos são alterados em intervalos regulares."
"FireWorksInfoLong","Whenever you shapeshift, you can place a firework.\n After placing all fireworks, you can set them all off at once when you shapeshift once you become the last impostor.\nOnce you start placing fireworks, you cannot kill until the fireworks go off.","変身することで花火を最大3か所に設置可能。\nすべて設置した後、インポスター最後の生き残りになった時に再度変身することで一斉起爆できる。\n花火が設置されている間はキルできない。","烟花商人可以安放烟花炸弹，造成范围性杀伤。\n烟花商人在变形状态下可以安放至多三个烟花炸弹。\n当存活的内鬼阵营玩家仅剩烟花商人且烟花炸弹安置完毕时，烟花商人可以在变形状态下引爆炸弹。\n烟花商人不可以进行常规击杀，除非安放并引爆所有烟花炸弹。\n烟花炸弹可以同样炸死烟花商人自己。\n如果烟花炸弹炸死所有存活玩家，内鬼阵营将获胜。","煙火工匠可以放置煙火來造成範圍性傷害，煙火工匠可以以變形來放置煙火，最多可以放置三個煙火，但是在煙火工匠放置完所有煙火前無法殺人\n如果他的隊友都已經死亡的話，煙火工匠便可以引爆煙火。\n如果煙火工匠也在爆炸中被炸死，偽裝者陣營同樣獲勝。","Фейерверк может поставить несколько фейерверков с помощью Морфлинга. \nПосле установки всех фейерверков он может поджечь их все сразу с помощью использования Морфлинга, когда он является последним Предателем. \nТолько после этого он сможет убивать."," Ao mudar de corpo, você coloca um fogo de artifício.\nDepois de colocar todos, você pode acender tudo de uma vez ao trocar de corpo sendo o último Impostor.\nQuando começar a colocar fogos de artifício, você não poderá matar até eles explodirem."," Ao mudar de corpo, você coloca um fogo de artifício.\nDepois de colocar todos, você pode acender tudo de uma vez ao trocar de corpo sendo o último Impostor.\nQuando começar a colocar fogos de artifício, você não poderá matar até eles explodirem."
"SerialKillerInfoLong","You have a shorter kill cooldown than other impostors', but you will die if you don't kill before the end of your shapeshift cooldown.","キルクールが他のインポスターに比べて短い反面、変身のクールタイムが明ける前にキルしないと自爆する。","嗜血杀手的冷却因为他的杀戮欲望而更快。\n嗜血杀手若不能在一定时间内进行击杀，\n就会因承受不了自己的杀戮欲望而自杀。","嗜血殺手的殺人冷卻是所有偽裝者中最短的一個。\n但是如果嗜血殺手沒有在自殺倒數歸零前再殺人，嗜血殺手將會自殺。","У Серийного Убийцы еще более короткий откат убийства. \nНо если он не совершит убийство в установленный срок, то он мгновенно убьет сам себя.","O seu tempo de recarga (abate) é menor, porém, se você não matar no prazo morrerá no fim do seu tempo de mutação.","O seu tempo de morte é menor, porém, se você não matar no prazo morrerá no fim do seu tempo de mutação."
"ShapeMasterInfoLong","ShapeMaster has no Shapeshift cooldown.\nOn the other hand, their default Shapeshift duration is shorter (default: 10s).","シェイプシフトに特化したインポスター。\n変身持続時間が通常のシェイプシフターよりも短い半面、変身解除後のクールダウンがなく無限に変身することができる。\n変身継続時間は設定で変更が可能。","千面鬼没有变形冷却与次数限制。\n在默认设置下，千面鬼变形的持续时间更短(10秒)。","百變怪相較於普通變形者，百變怪沒有變形冷卻，但是相較於普通變形者他的變形時間會更短。","Шпион не имеет отката восстановления Морфа. \nС другой стороны, длительность Морфа по умолчанию стоит куда меньше. \nПродолжительность трансформации можно изменить в настройках.","Você não tem tempo de recarga (mutação).\nPor outro lado, o tempo padrão de mutação é menor (padrão: 10s).","Você não tem tempo para trocar de corpo.\nPor outro lado, o tempo padrão de metamorfose é menor (padrão: 10s)."
"MareInfoLong","You can only kill during Fix Lights.\nWhen you make a kill, your next kill cooldown will be halved.\nDuring Fix Lights, you can move faster, but your name will also be displayed in red for all.","停電の時だけキルができるインポスター。\nキルに成功すると次のキルクールが半分になる。\n移動速度も停電中は早くなるが名前が赤くなる。","梦魇只能在停电时下进行击杀。\n若夜魇击杀成功，夜魇的击杀冷却将变成原来的一半。\n此外，停电续时间内夜魇的移动速度也会增加，\n并且，这段时间内所有玩家都能看到夜魇的名字以红色表示。","獵夢者只可在關燈狀態下殺人，但是移動速度將會變快，並且如果殺人成功冷卻將會減半。\n不過請注意，獵夢者關燈狀態下的名字會變成紅色，並且所有玩家可見。","Предатель, который может убивать только при выключенном свете. \nКаждое его убийство вдвое снижает откат убийства. \nСкорость движения также будет выше при выключенном свете, но его никнейм станет красным и будет виден всем игрокам.","Você só pode matar durante apagões.\nQuando você mata, o seu próximo tempo de recarga (abate) será reduzido.\nDurante apagões, você se move mais rápido, mas o seu nome aparecerá em vermelho para todos.","Você só pode matar durante apagões.\nQuando você mata, o seu próximo tempo de morte será reduzido.\nDurante apagões, você se move mais rápido, mas o seu nome aparecerá em vermelho para todos."
"VampireInfoLong","You can make delayed kills by biting others.\n(Bitten players will die either after the delay is over or the moment a meeting is called before then.)\nIf you bite a [Bait](#Bait), there is no delay, and you are forced to self-report.","プレイヤーを噛む事で遅延キルが可能。\n(時間が経過or会議が始まると死亡する。)\nベイトの場合即死亡し、強制的に通報が入る。","在吸血鬼的吸血的对象不会立刻死亡，而是延迟一段时间发生。\n若在这段时间内进入会议阶段，该目标将立即死亡。\n当被击杀目标为诱饵时，吸血鬼的击杀被视为普通击杀。","當吸血鬼嘗試殺人時，嘗試被殺的目標並不會立刻死亡，而是過一段時間之後突然暴斃，\n如果在這段時間內進入會議，被吸血的玩家將會立刻死亡。\n請注意: 如果吸血鬼的目標為誘餌，吸血鬼仍舊會報告誘餌的屍體。","Вампир может кусать игроков, а не убивать. \nУкушенный игрок умирает спустя какое-то время, или же умирает сразу как только произойдёт срочное собрание. \nНо если он укусит [Приманку](#Bait) он совершит обычное убийство и он вынужден сразу зарепортить труп.","Você pode matar ao morder outros.\nJogadores mordidos vão morrer depois de um tempo, ou caso uma reunião seja chamada antes.\nSe você morder uma [Isca], não terá delay e você será obrigado a reportar o corpo imediatamente.","Você pode matar ao morder outros.\nJogadores mordidos vão morrer depois de um tempo, ou caso uma reunião seja chamada antes.\nSe você morder um [Isca], não terá delay e você será obrigado a reportar o corpo imediatamente."
"WarlockInfoLong","The Warlocks can curse another players before Shapeshift.\nWhen they Shapeshift after cursing, the player next to the cursed is killed no matter how far away they are.\nWhile Shpashifting, you can perform normal kills.\nAlso, only one player can be cursed per turn.","キルをすると一番近くの人に呪いがかかる。\n次から変身ボタンを押すと、呪われた人が一番近い人をキルする。\n変身した場合、普通のキルになる。\nまた、１ターンに１人しか呪うことはできない。","术士在不变形状态下击杀时，目标会被下咒。\n当术士变形时，最靠近被下咒玩家的船员将会被击杀。","術士可以通過殺人鍵下咒一個目標，如果目標身上出現盾牌破碎的效果代表下咒成功。\n如果術士變形，那麼被下咒的玩家將會立刻殺死一名離他最近的玩家，\n如果術士未在進入會議前咒殺，則詛咒失效。","Колдун может проклинать игроков. \nКогда он Морфится после проклинания какого либо игрока, то проклятый игрок убивает любого игрока который находится по близости, независимо от того насколько далеко он находится. \nТак же во время Морфа он совершает обычные убийства.","Você pode amaldiçoar outros jogadores ao mutar.\nQuando você se transformar novamente depois de amaldiçoar alguém, a pessoa mais próxima do jogador amaldiçoado será morta, não importa o quão longe esteja.\nEnquanto alguém etiver amaldiçoado você pode matar normalmente.\nAlém disso, apenas uma pessoa pode ser amaldiçoada por rodada.","Você pode amaldiçoar outros jogadores ao mutar.\nQuando você se transformar novamente depois de amaldiçoar alguém, a pessoa mais próxima do jogador amaldiçoado será morta, não importa o quão longe esteja.\nEnquanto alguém etiver amaldiçoado você pode matar normalmente.\nAlém disso, apenas uma pessoa pode ser amaldiçoada por rodada."
